date,avg.temp_A,avg.temp_B,avg.temp_C,avg.temp_D,avg.temp_E,avg.wind.speed_A,avg.wind.speed_B,avg.wind.speed_C,avg.wind.speed_D,avg.wind.speed_E,max.inst.wind.speed_A,max.inst.wind.speed_B,max.inst.wind.speed_C,max.inst.wind.speed_D,max.inst.wind.speed_E,max.inst.wind.speed.dir_A,max.inst.wind.speed.dir_B,max.inst.wind.speed.dir_C,max.inst.wind.speed.dir_D,max.inst.wind.speed.dir_E,max.temp_A,max.temp_B,max.temp_C,max.temp_D,max.temp_E,max.wind.speed_A,max.wind.speed_B,max.wind.speed_C,max.wind.speed_D,max.wind.speed_E,max.wind.speed.dir_A,max.wind.speed.dir_B,max.wind.speed.dir_C,max.wind.speed.dir_D,max.wind.speed.dir_E,min.atmos.pressure_A,min.atmos.pressure_B,min.atmos.pressure_C,min.atmos.pressure_D,min.atmos.pressure_E,min.temp_A,min.temp_B,min.temp_C,min.temp_D,min.temp_E,precipitation_A,precipitation_B,precipitation_C,precipitation_D,precipitation_E
0001f2fd,21.1,20.7,20.4,21.4,18.4,1.1,0.9,0.6,0.9,0.5,5.2,5.6,5.0,5.4,4.3,3,2,6,6,7,27.8,27.7,27.7,27.8,25.1,4.1,3.0,2.0,3.3,1.7,3,1,6,6,4,1008.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,17.2,16.8,17.3,18.2,14.7,41.5,23.5,38.0,39.5,54.5
00177dc1,20.6,20.5,19.1,21.1,17.8,1.7,1.4,0.8,1.0,0.5,7.0,6.1,5.7,5.6,3.9,3,4,6,6,0,26.4,27.0,26.2,25.7,23.8,4.8,4.1,2.2,3.0,1.4,3,2,6,6,3,997.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.3,17.1,15.4,18.8,13.3,38.0,20.5,33.5,34.5,30.5
00b3a048,7.8,6.4,7.2,8.0,4.8,1.5,3.1,0.7,0.6,0.4,6.4,10.6,5.8,6.6,3.5,6,1,6,2,4,12.0,11.4,12.2,11.3,10.5,4.3,6.8,2.5,3.2,2.0,6,2,6,0,4,1019.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,3.9,1.4,3.8,6.1,-0.2,4.0,8.0,4.5,11.5,8.0
013f131b,29.0,27.8,27.2,28.2,23.9,2.4,1.8,0.9,1.7,0.5,9.9,8.9,6.5,7.1,4.6,6,4,6,6,4,36.1,35.2,34.0,36.3,31.7,6.7,4.3,2.9,4.1,1.6,4,4,6,6,6,1006.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,24.5,22.2,22.5,22.3,18.8,0.0,0.0,0.0,0.0,0.0
01a1b150,9.3,9.2,8.8,10.2,6.9,0.9,1.9,0.9,0.8,0.3,4.8,7.4,5.9,5.3,2.7,4,2,3,6,5,11.6,13.7,12.4,13.5,9.5,3.3,4.8,1.8,2.9,1.2,4,2,2,6,4,1013.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,7.5,5.6,5.9,8.7,4.3,0.0,0.5,0.5,2.0,1.5
0208b16b,1.9,1.7,1.9,2.1,-0.2,0.9,2.7,0.9,0.7,0.4,3.4,9.4,5.7,4.7,2.8,6,2,3,6,5,6.6,7.4,7.5,6.6,4.5,2.4,5.7,1.9,2.6,1.4,6,2,3,6,4,1015.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-2.7,-3.1,-1.9,-2.2,-4.5,0.0,0.0,0.0,0.5,0.0
0247bd99,18.7,17.0,16.5,18.8,14.3,1.3,0.9,0.8,1.0,0.4,4.5,3.9,4.9,5.1,3.5,4,2,1,6,4,23.9,21.4,22.4,25.2,21.4,3.1,2.6,1.7,3.1,1.8,4,2,2,6,6,1013.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,14.4,12.3,12.6,14.0,8.6,0.0,0.0,0.0,0.0,0.0
0297dfdf,24.7,24.4,23.5,24.1,21.4,2.2,2.7,0.6,1.0,0.5,9.8,15.7,4.2,7.1,4.9,6,4,5,3,6,29.8,31.1,27.6,29.0,24.2,6.3,8.7,1.5,4.1,1.6,6,4,0,3,3,1009.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,22.2,21.6,21.8,22.5,19.5,10.0,4.0,20.0,15.0,45.0
03caeae7,17.5,16.6,16.7,17.7,15.5,1.6,1.6,0.6,0.8,0.4,6.4,10.3,6.4,3.2,5.4,7,6,1,2,1,21.4,21.0,19.7,20.7,18.3,4.4,5.8,2.0,2.2,1.8,6,6,1,2,1,1013.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,14.5,13.6,14.3,15.2,13.1,33.0,35.0,40.5,25.0,38.0
05610ce4,24.6,23.8,21.9,23.4,20.2,2.8,3.0,0.6,0.9,0.6,14.1,12.5,4.8,3.6,5.4,4,6,6,2,7,29.6,29.4,29.0,29.7,25.6,8.2,6.8,1.9,2.1,1.5,4,6,6,2,4,1014.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.7,19.2,18.6,19.8,15.2,0.0,0.5,0.0,0.5,2.0
