date,label,avg.temp_A,avg.temp_B,avg.temp_C,avg.temp_D,avg.temp_E,avg.wind.speed_A,avg.wind.speed_B,avg.wind.speed_C,avg.wind.speed_D,avg.wind.speed_E,max.inst.wind.speed_A,max.inst.wind.speed_B,max.inst.wind.speed_C,max.inst.wind.speed_D,max.inst.wind.speed_E,max.inst.wind.speed.dir_A,max.inst.wind.speed.dir_B,max.inst.wind.speed.dir_C,max.inst.wind.speed.dir_D,max.inst.wind.speed.dir_E,max.temp_A,max.temp_B,max.temp_C,max.temp_D,max.temp_E,max.wind.speed_A,max.wind.speed_B,max.wind.speed_C,max.wind.speed_D,max.wind.speed_E,max.wind.speed.dir_A,max.wind.speed.dir_B,max.wind.speed.dir_C,max.wind.speed.dir_D,max.wind.speed.dir_E,min.atmos.pressure_A,min.atmos.pressure_B,min.atmos.pressure_C,min.atmos.pressure_D,min.atmos.pressure_E,min.temp_A,min.temp_B,min.temp_C,min.temp_D,min.temp_E,precipitation_A,precipitation_B,precipitation_C,precipitation_D,precipitation_E
00173aec,2,18.7,17.6,16.9,19.5,14.3,1.6,1.8,0.9,1.2,0.5,7.5,11.1,5.5,6.9,3.6,3,1,6,6,7,25.0,23.7,23.9,26.7,21.1,5.0,5.8,2.3,3.5,1.9,3,2,6,6,6,1006.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,14.9,12.5,12.9,16.4,9.0,1.0,1.5,1.5,0.0,4.5
0083f291,1,13.1,12.6,12.0,13.0,10.7,1.4,1.0,0.7,0.7,0.6,6.7,6.7,5.6,4.0,8.1,7,6,1,6,7,15.8,15.0,13.7,14.9,13.9,4.2,3.6,1.8,1.9,2.9,6,6,1,6,3,1000.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,11.3,11.1,10.6,12.1,8.5,50.0,46.5,49.0,45.5,63.0
014cfe7b,2,19.9,19.0,17.5,19.9,16.2,3.7,3.6,0.7,1.3,1.1,14.5,14.6,12.0,9.2,11.2,7,5,7,3,3,24.2,23.9,21.0,25.8,19.1,11.3,8.6,2.6,4.6,2.9,7,5,7,6,3,1004.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,16.1,13.5,15.8,16.3,12.4,18.0,17.0,63.5,19.0,32.0
01947c8e,2,21.6,20.2,20.5,21.3,17.6,1.6,1.2,1.1,1.0,0.6,7.3,7.4,5.8,5.5,4.9,6,6,6,6,5,29.0,29.0,27.7,29.3,25.2,4.9,3.8,2.1,3.2,2.0,6,4,6,6,4,1011.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.8,14.2,15.5,15.9,11.5,0.0,1.0,0.0,0.0,0.0
0258884d,2,15.2,13.9,13.9,15.8,11.1,2.5,2.3,1.2,1.8,0.7,10.0,10.3,7.3,7.2,5.0,7,4,6,6,2,21.9,22.4,21.0,22.4,17.2,6.8,5.4,3.3,4.5,2.2,3,6,6,6,3,1020.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,10.3,5.6,8.9,10.4,5.3,0.0,0.0,0.0,0.0,0.0
02c5c300,2,19.9,20.0,18.2,19.6,14.8,1.9,2.2,0.7,1.2,0.5,8.5,12.6,3.8,6.7,3.4,6,4,6,6,1,25.9,26.2,23.1,25.9,21.0,5.1,6.1,1.5,4.2,1.5,6,4,2,6,3,1020.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.6,15.2,14.2,14.5,10.3,0.0,0.0,0.0,0.0,0.5
03b70d0a,2,20.5,19.9,19.2,19.8,18.0,2.9,4.1,0.5,1.2,1.4,9.4,14.4,7.2,4.7,13.1,6,4,6,2,2,22.8,22.7,21.1,21.7,20.1,5.7,9.2,1.8,3.1,4.2,4,6,6,2,1,999.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.4,17.8,17.1,18.0,15.4,52.0,22.5,64.5,34.0,83.5
03c9eecc,2,1.6,0.9,-0.2,1.6,-1.1,2.2,1.9,0.8,1.0,1.4,14.1,10.1,6.1,9.8,9.0,3,3,6,6,7,9.3,8.9,7.6,10.9,4.9,8.9,5.6,2.8,4.9,3.4,3,3,6,6,1,1012.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-4.1,-6.0,-4.9,-4.2,-6.1,0.0,0.0,0.0,0.0,0.0
043f3df7,2,-1.3,-2.4,-3.1,-0.7,-5.6,2.8,3.0,0.9,1.5,1.9,14.2,13.6,6.7,13.9,12.5,3,6,5,2,3,3.0,1.4,1.3,5.1,-1.5,8.1,6.9,2.4,6.0,4.6,3,7,3,2,3,1018.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-5.3,-6.6,-6.7,-5.0,-10.6,0.0,0.0,0.0,0.0,0.0
044c3cb8,2,26.3,25.2,24.4,25.2,21.8,2.7,1.4,0.8,1.1,0.7,13.8,7.9,5.7,5.4,6.2,3,6,6,6,7,34.2,32.6,31.6,33.5,30.1,9.2,4.9,2.1,3.1,2.8,7,6,6,6,3,1009.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.9,19.4,20.5,19.6,16.6,0.0,0.0,0.0,0.0,0.0
