Region,date,avg.temp,max.temp,min.temp,precipitation,avg.wind.speed,max.wind.speed,max.wind.speed.dir,max.inst.wind.speed,max.inst.wind.speed.dir,min.atmos.pressure
A,229b70a3,3.3,10.2,-2.4,0,2.9,9.3,W,14.3,W,1015.1
A,3134f4ff,5.7,13.7,-2.9,0,3.6,10.7,W,15.8,W,1011.3
A,dbfaf910,13.8,20,9,0,5.3,9.4,SW,15.2,W,1004.2
A,3aea0cf0,11.4,19.3,5.8,0,4.2,10.1,SW,20.6,SW,1001.7
A,f0227f56,2.4,7.7,0.3,43.5,0.9,3.7,SW,5.7,SW,1003.5
A,d486a259,6.2,11.8,2.9,0,1.9,6.7,NE,10.9,NE,1012.2
A,7cdfeda7,9.9,15,6,15,2.4,5.1,SW,8.7,SW,1012
A,38de5d00,10.5,15.8,4,9,4.1,10.1,W,14.4,NW,1008.2
A,8c2d8dcc,14.1,22.9,5.8,0,2.2,6.7,W,9.4,W,1007.2
A,7197e71e,15.3,22.3,9.3,0,3.8,9.1,W,16.3,SW,1007.9
A,593eb286,13.4,23.5,5.5,0,3.2,9.3,NW,15.3,S,1009.4
A,29b6c876,15.2,22.6,6.8,0,3.2,8.7,NW,12.3,NW,1009.2
A,7d9a6f89,19,27.6,13.4,0,2,8.2,NW,11.2,NW,1007.5
A,d5c32077,15.8,18,13.6,6,2.7,6,W,9.3,W,1008.5
A,6aee08b4,19.6,26,15.4,0,3.1,7.3,W,10.3,SW,1000.1
A,bee1e69c,17,22.1,14.4,3.5,3.1,9.3,W,14,W,999.9
A,ff929090,10.4,15.7,3.4,0,4.3,9.4,NW,18,NW,1003.1
A,5ff1137c,9.4,18.2,0.5,0,2.2,7.1,S,12.1,SE,1017.7
A,67bb94af,12.3,16.2,8.6,2.5,2.1,5,SW,7.9,SW,1017.9
A,93abdff0,12.8,17.6,8.6,22,1.2,3.4,E,5,E,1005.8
A,b70f02ff,15.8,22.2,10.4,0,3.4,9.7,SW,15.1,NW,1001
A,2bdb4125,15.5,24.9,7.9,0,2.1,7.6,S,13.4,SW,1012.2
A,fc2c3636,15.6,24.8,7.5,0.5,2.5,7.3,SW,10.8,SW,1014.4
A,5d803709,14.5,20.6,9.8,5.5,2.2,9.1,NW,13.9,W,1007.6
A,1bd0da7f,14.3,20.4,8.1,0,2.7,7.4,W,11.4,W,1006.9
A,2bf8f976,13.3,15.2,11.7,7.5,1.3,4.6,SW,7.1,SW,1017.8
A,4aebb70a,16.6,24.2,11.6,0,2.2,6.3,SW,10,SW,1010.5
A,39b80db2,18.3,26,13,0,2.6,7.4,SW,10.5,SW,1016.7
A,295d55b9,17.9,25.4,11.8,0,3,8.5,S,13.6,S,1014.9
A,d9f6669e,18,26.5,12.1,0,2.7,8.6,NW,12.6,NW,1000.7
